mixed_id,file_path,media_type,true_label,true_label_name,source_label,source_label_name,source_split,actual_media_type
0,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000183_Interpolation_000183.mp4,video,1,Fake,1,Fake,video_test,video
1,/content/drive/MyDrive/skripsi/dataset_video/real/003504_Real_003504.mp4,video,0,Real,0,Real,video_test,video
2,/content/drive/MyDrive/skripsi/dataset_image/real/002776_000412.jpg,image,0,Real,0,Real,image_binary_input,image
3,/content/drive/MyDrive/skripsi/dataset_image/real/002638_000372.jpg,image,0,Real,0,Real,image_binary_input,image
4,/content/drive/MyDrive/skripsi/dataset_image/tampered/000446_000274.jpg,image,1,Fake,2,Tampered,image_binary_input,image
5,/content/drive/MyDrive/skripsi/dataset_video/fake/T2V/000613_T2V_000613.mp4,video,1,Fake,1,Fake,video_test,video
6,/content/drive/MyDrive/skripsi/dataset_video/real/002535_Real_002535.mp4,video,0,Real,0,Real,video_test,video
7,/content/drive/MyDrive/skripsi/dataset_image/real/001985_002687.jpg,image,0,Real,0,Real,image_binary_input,image
8,/content/drive/MyDrive/skripsi/dataset_video/real/002362_Real_002362.mp4,video,0,Real,0,Real,video_test,video
9,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/001875_000752.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
10,/content/drive/MyDrive/skripsi/dataset_video/real/002452_Real_002452.mp4,video,0,Real,0,Real,video_test,video
11,/content/drive/MyDrive/skripsi/dataset_video/fake/Change_of_style/000433_Change_of_style_000433.mp4,video,1,Fake,1,Fake,video_test,video
12,/content/drive/MyDrive/skripsi/dataset_image/tampered/003159_001183.jpg,image,1,Fake,2,Tampered,image_binary_input,image
13,/content/drive/MyDrive/skripsi/dataset_video/real/000322_Real_000322.mp4,video,0,Real,0,Real,video_test,video
14,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/003191_002773.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
15,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000098_TI2V_000098.mp4,video,1,Fake,1,Fake,video_test,video
16,/content/drive/MyDrive/skripsi/dataset_video/real/002200_Real_002200.mp4,video,0,Real,0,Real,video_test,video
17,/content/drive/MyDrive/skripsi/dataset_image/real/003003_001527.jpg,image,0,Real,0,Real,image_binary_input,image
18,/content/drive/MyDrive/skripsi/dataset_image/tampered/000335_002689.jpg,image,1,Fake,2,Tampered,image_binary_input,image
19,/content/drive/MyDrive/skripsi/dataset_image/full_synthetic/000769_003032.jpg,image,1,Fake,1,Full-Synthetic,image_binary_input,image
20,/content/drive/MyDrive/skripsi/dataset_video/real/004063_Real_004063.mp4,video,0,Real,0,Real,video_test,video
21,/content/drive/MyDrive/skripsi/dataset_video/real/001183_Real_001183.mp4,video,0,Real,0,Real,video_test,video
22,/content/drive/MyDrive/skripsi/dataset_video/fake/Outpainting/000445_Outpainting_000445.mp4,video,1,Fake,1,Fake,video_test,video
23,/content/drive/MyDrive/skripsi/dataset_video/fake/Inpainting/000586_Inpainting_000586.mp4,video,1,Fake,1,Fake,video_test,video
24,/content/drive/MyDrive/skripsi/dataset_video/fake/T2V/000144_T2V_000144.mp4,video,1,Fake,1,Fake,video_test,video
25,/content/drive/MyDrive/skripsi/dataset_image/real/002750_003230.jpg,image,0,Real,0,Real,image_binary_input,image
26,/content/drive/MyDrive/skripsi/dataset_video/fake/Interpolation/000376_Interpolation_000376.mp4,video,1,Fake,1,Fake,video_test,video
27,/content/drive/MyDrive/skripsi/dataset_video/real/004354_Real_004354.mp4,video,0,Real,0,Real,video_test,video
28,/content/drive/MyDrive/skripsi/dataset_video/fake/TI2V/000226_TI2V_000226.mp4,video,1,Fake,1,Fake,video_test,video
29,/content/drive/MyDrive/skripsi/dataset_video/real/002145_Real_002145.mp4,video,0,Real,0,Real,video_test,video
30,/content/drive/MyDrive/skripsi/dataset_video/fake/Outpainting/000181_Outpainting_000181.mp4,video,1,Fake,1,Fake,video_test,video
31,/content/drive/MyDrive/skripsi/dataset_image/real/002585_000082.jpg,image,0,Real,0,Real,image_binary_input,image
32,/content/drive/MyDrive/skripsi/dataset_video/real/003252_Real_003252.mp4,video,0,Real,0,Real,video_test,video
